Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 1, 0.109, 0.109, 0.119, 0.01, 1, 0.119, 0.838, 0.719, 1297, 0, 0.838, 0.852, 0.014, 28,     0.743,
 1, 1, 0.171, 0.171, 0.265, 0.094, 189, 0.265, 1.087, 0.822, 1246, 0, 1.087, 1.101, 0.014, 29,     0.931,
 2, 1, 0.218, 0.218, 0.304, 0.086, 164, 0.304, 1.348, 1.043, 1432, 0, 1.348, 2.609, 1.262, 2508,     2.392,
 3, 1, 0.703, 0.703, 0.713, 0.01, 18, 0.713, 2.599, 1.886, 1468, 0, 2.599, 2.629, 0.03, 45,     1.926,
 4, 1, 0.741, 0.741, 0.765, 0.024, 36, 0.765, 2.848, 2.084, 1997, 0, 2.848, 2.858, 0.01, 9,     2.118,
 7, 1, 0.935, 0.935, 0.963, 0.028, 43, 0.963, 3.612, 2.649, 1472, 0, 3.612, 3.623, 0.011, 22,     2.688,
 5, 1, 0.789, 0.789, 0.871, 0.083, 165, 0.871, 3.098, 2.226, 1200, 0, 3.098, 3.783, 0.685, 1371,     2.994,
 6, 1, 0.924, 0.924, 1.117, 0.193, 383, 1.117, 3.861, 2.744, 1748, 0, 3.861, 3.871, 0.01, 14,     2.947,
 9, 1, 1.107, 1.107, 1.153, 0.046, 71, 1.153, 4.111, 2.959, 1827, 0, 4.111, 4.121, 0.01, 17,     3.015,
 10, 1, 1.22, 1.22, 1.23, 0.01, 1, 1.23, 4.366, 3.136, 1654, 0, 4.366, 4.412, 0.046, 92,     3.192,
 8, 1, 1.088, 1.088, 1.298, 0.209, 404, 1.298, 4.615, 3.317, 1468, 0, 4.615, 4.8, 0.185, 370,     3.711,
 11, 1, 1.288, 1.288, 1.308, 0.02, 38, 1.308, 4.864, 3.557, 1508, 0, 4.864, 4.914, 0.05, 100,     3.627,
 12, 1, 1.311, 1.311, 1.338, 0.027, 37, 1.338, 5.114, 3.776, 1807, 0, 5.114, 5.155, 0.041, 82,     3.844,
 13, 1, 2.141, 2.141, 2.141, 0, 2, 2.141, 5.878, 3.737, 1599, 0, 5.878, 5.963, 0.085, 171,     3.822,
 14, 1, 2.171, 2.171, 2.246, 0.076, 127, 2.246, 6.881, 4.635, 1779, 0, 6.881, 6.891, 0.01, 12,     4.720,
 15, 1, 2.457, 2.457, 2.467, 0.01, 16, 2.467, 7.13, 4.663, 836, 0, 7.13, 7.147, 0.016, 33,     4.690,
 17, 1, 2.552, 2.552, 2.783, 0.231, 471, 2.783, 7.641, 4.858, 1301, 0, 7.641, 7.651, 0.01, 9,     5.099,
 19, 1, 2.618, 2.618, 3.029, 0.411, 8, 3.029, 8.639, 5.61, 1342, 0, 8.639, 8.683, 0.044, 88,     6.065,
 18, 1, 2.58, 2.58, 3.021, 0.442, 477, 3.021, 8.388, 5.367, 1487, 0, 8.388, 8.733, 0.344, 689,     6.153,
 20, 1, 2.931, 2.931, 3.033, 0.102, 1, 3.033, 8.894, 5.861, 1765, 0, 8.894, 8.949, 0.055, 110,     6.018,
 21, 1, 3.029, 3.029, 3.07, 0.041, 74, 3.07, 9.143, 6.073, 1389, 0, 9.143, 9.174, 0.031, 62,     6.145,
 16, 1, 2.486, 2.486, 3.19, 0.704, 1423, 3.19, 9.392, 6.202, 2333, 0, 9.392, 9.465, 0.072, 145,     6.979,
 22, 1, 3.102, 3.102, 3.359, 0.257, 515, 3.359, 9.891, 6.532, 1084, 0, 9.891, 10.132, 0.241, 482,     7.030,
 23, 1, 3.382, 3.382, 3.392, 0.01, 19, 3.392, 10.156, 6.764, 1232, 0, 10.156, 10.237, 0.081, 162,     6.855,
 24, 1, 3.449, 3.449, 3.802, 0.353, 697, 3.802, 11.402, 7.6, 1561, 0, 11.402, 11.573, 0.171, 343,     8.125,
 25, 1, 3.88, 3.88, 3.88, 0, 10, 3.88, 12.151, 8.271, 1175, 0, 12.151, 12.161, 0.01, 8,     8.281,
 26, 1, 3.93, 3.93, 3.977, 0.047, 80, 3.977, 12.411, 8.435, 1964, 0, 12.411, 12.437, 0.025, 51,     8.507,
 27, 1, 3.967, 3.967, 3.997, 0.03, 60, 3.997, 12.663, 8.667, 938, 0, 12.663, 12.704, 0.04, 81,     8.737,
 28, 1, 4.018, 4.018, 4.058, 0.04, 80, 4.058, 12.913, 8.855, 1485, 0, 12.913, 12.923, 0.01, 11,     8.905,
 30, 1, 4.269, 4.269, 4.279, 0.01, 11, 4.279, 13.436, 9.157, 1479, 0, 13.436, 13.446, 0.01, 13,     9.177,
 31, 1, 4.494, 4.494, 4.503, 0.01, 19, 4.503, 13.936, 9.433, 1887, 0, 13.936, 14.328, 0.392, 784,     9.835,
 29, 1, 4.257, 4.257, 4.652, 0.396, 792, 4.652, 14.435, 9.783, 1670, 0, 14.435, 14.474, 0.039, 78,    10.218,
 33, 1, 4.811, 4.811, 4.827, 0.016, 38, 4.827, 14.954, 10.127, 1721, 0, 14.954, 15.061, 0.107, 214,    10.250,
 32, 1, 4.565, 4.565, 4.712, 0.147, 257, 4.712, 14.685, 9.973, 1742, 0, 14.685, 15.713, 1.028, 2056,    11.147,
 34, 1, 5.071, 5.071, 5.104, 0.034, 81, 5.104, 16.222, 11.118, 1653, 0, 16.222, 16.446, 0.224, 448,    11.375,
 102, 1, 15.321, 15.321, 15.572, 0.251, 29, 15.572, 16.588, 1.016, 1341, 0, 16.588, 16.632, 0.044, 88,     1.312,
 35, 1, 5.258, 5.258, 5.414, 0.156, 313, 5.414, 16.976, 11.561, 1268, 0, 16.976, 17.034, 0.058, 117,    11.776,
 37, 1, 5.605, 5.605, 5.615, 0.01, 12, 5.615, 17.227, 11.612, 1736, 0, 17.227, 17.261, 0.035, 69,    11.656,
 47, 1, 7.261, 7.261, 7.303, 0.042, 71, 7.303, 17.334, 10.03, 1694, 0,TimeOut
 49, 1, 7.293, 7.293, 7.323, 0.03, 36, 7.323, 17.347, 10.024, 1466, 0,TimeOut
 48, 1, 7.274, 7.274, 7.358, 0.084, 168, 7.358, 17.377, 10.019, 1208, 0,TimeOut
 107, 1, 15.727, 15.727, 16.152, 0.425, 11, 16.152, 17.588, 1.436, 1317, 0, 17.588, 17.598, 0.01, 18,     1.871,
 50, 1, 7.683, 7.683, 7.693, 0.01, 19, 7.693, 17.714, 10.021, 1096, 0,TimeOut
 93, 1, 14.543, 14.543, 16.281, 1.739, 3481, 16.281, 17.848, 1.567, 1200, 0, 17.848, 17.893, 0.044, 89,     3.350,
 39, 1, 5.777, 5.777, 5.797, 0.02, 31, 5.797, 17.974, 12.177, 1087, 0, 17.974, 17.984, 0.01, 17,    12.207,
 51, 1, 8.056, 8.056, 8.089, 0.033, 66, 8.089, 18.103, 10.014, 985, 0,TimeOut
 52, 1, 8.15, 8.15, 8.209, 0.059, 92, 8.209, 18.236, 10.027, 1743, 0,TimeOut
 36, 1, 5.265, 5.265, 5.338, 0.074, 161, 5.338, 16.471, 11.133, 2063, 0, 16.471, 18.342, 1.87, 3741,    13.077,
 54, 1, 8.255, 8.255, 8.278, 0.024, 47, 8.278, 18.362, 10.084, 1270, 0,TimeOut
 53, 1, 8.24, 8.24, 8.376, 0.136, 291, 8.376, 18.392, 10.016, 1626, 0,TimeOut
 56, 1, 8.697, 8.697, 8.707, 0.01, 14, 8.707, 18.735, 10.028, 1426, 0,TimeOut
 55, 1, 8.599, 8.599, 8.764, 0.165, 315, 8.764, 18.785, 10.02, 1525, 0,TimeOut
 57, 1, 8.754, 8.754, 8.774, 0.02, 28, 8.774, 18.795, 10.021, 1776, 0,TimeOut
 110, 1, 16.925, 16.925, 16.946, 0.02, 35, 16.946, 18.852, 1.907, 1021, 0, 18.852, 18.897, 0.044, 89,     1.971,
 38, 1, 5.67, 5.67, 6.059, 0.389, 779, 6.059, 18.727, 12.668, 808, 0, 18.727, 18.937, 0.21, 420,    13.267,
 58, 1, 8.888, 8.888, 8.933, 0.045, 91, 8.933, 18.962, 10.029, 1026, 0,TimeOut
 40, 1, 6.019, 6.019, 6.071, 0.051, 84, 6.071, 18.976, 12.906, 1504, 0, 18.976, 18.986, 0.01, 3,    12.967,
 112, 1, 17.692, 17.692, 17.702, 0.01, 6, 17.702, 19.106, 1.404, 1311, 0, 19.106, 19.116, 0.01, 3,     1.424,
 114, 1, 17.808, 17.808, 17.832, 0.024, 48, 17.832, 19.355, 1.523, 1798, 0, 19.355, 19.368, 0.013, 26,     1.560,
 60, 1, 9.352, 9.352, 9.362, 0.01, 1, 9.362, 19.382, 10.02, 1467, 0,TimeOut
 41, 1, 6.177, 6.177, 6.38, 0.203, 407, 6.38, 19.486, 13.106, 1386, 0, 19.486, 19.496, 0.01, 5,    13.319,
 42, 1, 6.218, 6.218, 6.243, 0.025, 50, 6.243, 19.225, 12.982, 1434, 0, 19.225, 19.529, 0.303, 607,    13.311,
 61, 1, 9.38, 9.38, 9.494, 0.114, 240, 9.494, 19.561, 10.067, 1622, 0,TimeOut
 62, 1, 9.463, 9.463, 9.577, 0.113, 144, 9.577, 19.603, 10.026, 1486, 0,TimeOut
 63, 1, 9.479, 9.479, 9.585, 0.106, 11, 9.585, 19.603, 10.018, 1553, 0,TimeOut
 44, 1, 6.392, 6.392, 6.41, 0.018, 35, 6.41, 19.744, 13.334, 1666, 0, 19.744, 19.762, 0.018, 36,    13.370,
 116, 1, 17.91, 17.91, 17.92, 0.01, 16, 17.92, 19.611, 1.691, 1485, 0, 19.611, 19.799, 0.188, 369,     1.889,
 59, 1, 9.328, 9.328, 9.954, 0.626, 1252, 9.954, 19.97, 10.016, 1295, 0,TimeOut
 65, 1, 9.585, 9.585, 10.023, 0.438, 138, 10.023, 20.036, 10.013, 1340, 0,TimeOut
 43, 1, 6.35, 6.35, 6.42, 0.07, 139, 6.42, 20.001, 13.58, 1318, 0, 20.001, 20.044, 0.044, 89,    13.694,
 118, 1, 18.093, 18.093, 18.103, 0.01, 10, 18.103, 19.864, 1.762, 1379, 0, 19.864, 20.084, 0.22, 440,     1.991,
 66, 1, 9.928, 9.928, 10.12, 0.193, 177, 10.12, 20.181, 10.061, 1643, 0,TimeOut
 67, 1, 10.396, 10.396, 10.444, 0.048, 97, 10.444, 20.474, 10.03, 1651, 0,TimeOut
 68, 1, 10.571, 10.571, 10.581, 0.01, 3, 10.581, 20.606, 10.025, 2161, 0,TimeOut
 69, 1, 10.599, 10.599, 10.662, 0.063, 118, 10.662, 20.685, 10.023, 1151, 0,TimeOut
 70, 1, 10.903, 10.903, 10.903, 0, 2, 10.903, 20.921, 10.018, 1456, 0,TimeOut
 71, 1, 10.919, 10.919, 10.929, 0.01, 35, 10.929, 20.941, 10.012, 1966, 0,TimeOut
 45, 1, 6.644, 6.644, 6.832, 0.188, 384, 6.832, 21.014, 14.182, 1525, 0, 21.014, 21.024, 0.01, 9,    14.380,
 123, 1, 19.147, 19.147, 19.167, 0.02, 29, 19.167, 21.14, 1.972, 1841, 0, 21.14, 21.18, 0.041, 81,     2.033,
 72, 1, 11.128, 11.128, 11.161, 0.033, 32, 11.161, 21.185, 10.024, 1388, 0,TimeOut
 73, 1, 11.162, 11.162, 11.195, 0.033, 68, 11.195, 21.207, 10.012, 1427, 0,TimeOut
 74, 1, 11.347, 11.347, 11.357, 0.01, 12, 11.357, 21.397, 10.04, 1216, 0,TimeOut
 75, 1, 11.362, 11.362, 11.362, 0, 7, 11.362, 21.397, 10.035, 1917, 0,TimeOut
 132, 1, 20.664, 20.664, 20.695, 0.031, 45, 20.695, 21.611, 0.916, 1211, 0, 21.611, 21.648, 0.037, 66,     0.984,
 46, 1, 7.16, 7.16, 7.209, 0.049, 98, 7.209, 21.778, 14.569, 1350, 0, 21.778, 21.788, 0.01, 5,    14.628,
 113, 1, 17.748, 17.748, 17.758, 0.01, 19, 17.758, 22.03, 4.272, 1423, 0, 22.03, 22.045, 0.015, 31,     4.297,
