Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 1, 0.109, 0.109, 0.119, 0.01, 1, 0.119, 1.125, 1.006, 1297, 0, 1.125, 1.139, 0.014, 28,     1.030,
 1, 1, 0.171, 0.171, 0.265, 0.094, 189, 0.265, 1.374, 1.109, 1246, 0, 1.374, 1.388, 0.014, 29,     1.218,
 2, 1, 0.218, 0.218, 0.304, 0.086, 164, 0.304, 1.633, 1.328, 1432, 0, 1.633, 2.886, 1.254, 2508,     2.669,
 3, 1, 0.703, 0.703, 0.713, 0.01, 18, 0.713, 2.906, 2.194, 1468, 0, 2.906, 2.929, 0.022, 45,     2.226,
 4, 1, 0.741, 0.741, 0.767, 0.026, 36, 0.767, 3.156, 2.389, 1997, 0, 3.156, 3.166, 0.01, 9,     2.425,
 7, 1, 0.935, 0.935, 0.965, 0.03, 43, 0.965, 3.915, 2.95, 1472, 0, 3.915, 3.926, 0.011, 22,     2.991,
 5, 1, 0.789, 0.789, 0.878, 0.089, 165, 0.878, 3.405, 2.527, 1200, 0, 3.405, 4.09, 0.685, 1371,     3.302,
 6, 1, 0.924, 0.924, 1.117, 0.193, 383, 1.117, 4.165, 3.048, 1748, 0, 4.165, 4.175, 0.01, 14,     3.251,
 9, 1, 1.107, 1.107, 1.157, 0.05, 71, 1.157, 4.416, 3.26, 1827, 0, 4.416, 4.426, 0.01, 17,     3.320,
 10, 1, 1.22, 1.22, 1.23, 0.01, 1, 1.23, 4.666, 3.436, 1654, 0, 4.666, 4.712, 0.046, 92,     3.492,
 8, 1, 1.088, 1.088, 1.298, 0.209, 404, 1.298, 4.915, 3.618, 1468, 0, 4.915, 5.1, 0.185, 370,     4.012,
 11, 1, 1.288, 1.288, 1.308, 0.02, 38, 1.308, 5.164, 3.857, 1508, 0, 5.164, 5.214, 0.05, 100,     3.927,
