Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 1, 0.109, 0.109, 0.119, 0.01, 1, 0.119, 0.846, 0.727, 1297, 0, 0.846, 0.86, 0.014, 28,     0.751,
 1, 1, 0.171, 0.171, 0.265, 0.094, 189, 0.265, 1.046, 0.78, 1246, 0, 1.046, 1.06, 0.014, 29,     0.889,
 3, 1, 0.703, 0.703, 0.713, 0.01, 18, 0.713, 2.266, 1.553, 1468, 0, 2.266, 2.288, 0.022, 45,     1.585,
 4, 1, 0.741, 0.741, 0.765, 0.024, 36, 0.765, 2.466, 1.701, 1997, 0, 2.466, 2.475, 0.01, 9,     1.735,
 2, 1, 0.218, 0.218, 0.304, 0.086, 164, 0.304, 1.459, 1.155, 1432, 0, 1.459, 2.712, 1.254, 2508,     2.495,
 7, 1, 0.935, 0.935, 0.963, 0.028, 43, 0.963, 3.064, 2.101, 1472, 0, 3.064, 3.075, 0.011, 22,     2.140,
 6, 1, 0.924, 0.924, 1.117, 0.193, 383, 1.117, 3.279, 2.162, 1748, 0, 3.279, 3.289, 0.01, 14,     2.365,
 5, 1, 0.789, 0.789, 0.871, 0.083, 165, 0.871, 2.667, 1.796, 1200, 0, 2.667, 3.352, 0.685, 1371,     2.564,
 9, 1, 1.107, 1.107, 1.163, 0.056, 71, 1.163, 3.478, 2.316, 1827, 0, 3.478, 3.488, 0.01, 17,     2.382,
 10, 1, 1.22, 1.22, 1.23, 0.01, 1, 1.23, 3.677, 2.448, 1654, 0, 3.677, 3.723, 0.046, 92,     2.504,
 8, 1, 1.088, 1.088, 1.298, 0.209, 404, 1.298, 3.887, 2.589, 1468, 0, 3.887, 4.072, 0.185, 370,     2.984,
 11, 1, 1.288, 1.288, 1.308, 0.02, 38, 1.308, 4.087, 2.779, 1508, 0, 4.087, 4.137, 0.05, 100,     2.849,
 12, 1, 1.311, 1.311, 1.338, 0.027, 37, 1.338, 4.288, 2.95, 1807, 0, 4.288, 4.329, 0.041, 82,     3.018,
 13, 1, 2.141, 2.141, 2.151, 0.01, 2, 2.151, 4.9, 2.749, 1599, 0, 4.9, 4.986, 0.085, 171,     2.845,
 14, 1, 2.171, 2.171, 2.23, 0.06, 127, 2.23, 5.697, 3.467, 1779, 0, 5.697, 5.707, 0.01, 12,     3.537,
