host03,5.0,0.0
Switch: edge1,5.0,0.459
host07,5.0,0.0
host01,5.0,0.0
host08,5.0,0.3532
host05,5.0,0.0
host02,5.0,0.0
Switch: edge2,5.0,0.3532
host04,5.0,0.459
host06,5.0,0.0
host03,10.0,0.0
Switch: edge1,10.0,0.5
host07,10.0,0.0
host01,10.0,0.14
host08,10.0,0.361
host05,10.0,0.0
host02,10.0,0.0
Switch: edge2,10.0,0.361
host04,10.0,0.66
host06,10.0,0.0
host03,15.0,0.0
Switch: edge1,15.0,0.0815
host07,15.0,0.0
host01,15.0,0.08
host08,15.0,0.322802
host05,15.0,0.0
host02,15.0,0.0
Switch: edge2,15.0,0.322802
host04,15.0,0.169
host06,15.0,0.0
host03,20.0,0.0
Switch: edge1,20.0,0.09375
host07,20.0,0.0
host01,20.0,0.080312
host08,20.0,0.096394
host05,20.0,0.0
host02,20.0,0.0
Switch: edge2,20.0,0.096394
host04,20.0,0.15375
host06,20.0,0.0
host03,25.0,0.02
Switch: edge1,25.0,0.0
host07,25.0,0.0
host01,25.0,0.0
host08,25.0,0.0
host05,25.0,0.0
host02,25.0,0.0
Switch: edge2,25.0,0.0
host04,25.0,0.0
host06,25.0,0.0
host03,30.0,0.0
Switch: edge1,30.0,0.0
host07,30.0,0.0
host01,30.0,0.0
host08,30.0,0.0
host05,30.0,0.0
host02,30.0,0.0
Switch: edge2,30.0,0.0
host04,30.0,0.0
host06,30.0,0.0
host03,100.0,0.02
Switch: edge1,100.0,0.0
host07,100.0,0.0
host01,100.0,0.0
host08,100.0,0.0
host05,100.0,0.0
host02,100.0,0.0
Switch: edge2,100.0,0.0
host04,100.0,0.0
host06,100.0,0.0
host03,105.0,0.0
Switch: edge1,105.0,0.08
host07,105.0,0.0
host01,105.0,0.0
host08,105.0,0.08
host05,105.0,0.0
host02,105.0,0.0
Switch: edge2,105.0,0.08
host04,105.0,0.08
host06,105.0,0.0
